age;job;marital;education;default;balance;housing;loan;contact;day;month;duration
37;blue-collar;married;secondary;no;427;yes;yes;unknown;9;jun;371
33;self-employed;married;tertiary;no;483;yes;no;cellular;3;feb;280
56;unemployed;married;primary;no;3391;no;no;cellular;21;apr;243
27;housemaid;married;primary;no;0;yes;no;cellular;23;jul;435
21;student;single;secondary;no;2488;no;no;cellular;30;jun;258
58;management;married;tertiary;no;1517;yes;no;telephone;29;jul;7
32;self-employed;married;secondary;no;217;yes;yes;cellular;15;jul;317
33;blue-collar;single;secondary;no;22;no;no;cellular;30;jan;76
25;student;single;secondary;no;331;no;no;telephone;26;aug;170
25;technician;single;secondary;no;505;no;yes;cellular;17;nov;386
30;services;married;secondary;no;1808;yes;no;cellular;18;may;83
22;admin.;single;secondary;no;4111;no;yes;cellular;19;aug;65
39;blue-collar;married;primary;no;52;no;no;cellular;13;aug;69
46;management;divorced;tertiary;no;25;no;no;unknown;17;jun;564
31;admin.;divorced;secondary;no;1890;yes;no;cellular;21;jul;588
45;blue-collar;married;primary;no;419;no;no;cellular;18;aug;113
32;technician;married;secondary;no;2693;yes;no;unknown;21;may;16
36;blue-collar;married;secondary;no;-231;no;yes;cellular;15;jul;779
51;management;single;tertiary;yes;-55;yes;no;cellular;11;may;281
34;self-employed;single;tertiary;no;462;no;no;cellular;21;aug;1877
24;unemployed;single;secondary;no;119;no;no;unknown;15;sep;51
45;technician;single;secondary;no;586;no;yes;cellular;28;jul;32
32;blue-collar;single;secondary;no;228;no;no;telephone;5;feb;176
77;retired;divorced;tertiary;no;4659;no;no;cellular;14;apr;161
41;blue-collar;married;primary;no;168;yes;no;cellular;18;nov;187
37;blue-collar;married;primary;no;0;yes;no;unknown;26;may;24
43;blue-collar;married;unknown;yes;-715;yes;no;unknown;30;may;67
48;admin.;married;unknown;no;0;yes;no;cellular;8;may;85
27;technician;single;secondary;no;769;yes;no;unknown;9;may;317
33;management;single;tertiary;no;0;no;no;cellular;28;aug;236
29;admin.;single;secondary;no;428;yes;yes;cellular;7;may;54
34;management;single;tertiary;no;0;no;no;cellular;5;feb;71
52;management;married;tertiary;no;-970;yes;no;cellular;4;feb;489
60;management;married;unknown;no;6313;no;no;unknown;19;jun;39
32;management;divorced;tertiary;no;948;no;no;cellular;12;aug;204
32;management;single;tertiary;no;0;yes;no;cellular;22;jul;455
56;services;divorced;unknown;no;1877;yes;no;unknown;30;may;86
31;management;single;tertiary;no;874;yes;no;cellular;18;nov;190
42;admin.;married;secondary;no;323;yes;yes;unknown;8;may;280
35;management;married;tertiary;no;106;no;yes;cellular;11;aug;588
56;retired;married;primary;no;1906;no;yes;unknown;19;jun;45
48;technician;married;secondary;no;1152;yes;no;cellular;21;jul;168
46;admin.;married;secondary;no;179;yes;no;cellular;29;jan;194
37;technician;single;unknown;no;391;yes;no;unknown;8;may;103
41;entrepreneur;married;unknown;no;89;yes;no;unknown;6;may;333
36;management;single;tertiary;no;442;yes;yes;cellular;29;jul;102
45;unemployed;divorced;primary;yes;-249;yes;yes;unknown;1;jul;92
55;entrepreneur;married;secondary;no;8104;no;no;cellular;6;feb;213
39;technician;married;secondary;no;501;no;no;unknown;26;may;289
35;technician;divorced;secondary;no;308;no;no;cellular;22;aug;77
55;admin.;married;secondary;no;602;no;no;cellular;1;jun;324
55;technician;married;secondary;no;273;yes;no;cellular;29;jan;84
27;self-employed;single;secondary;no;50;no;no;cellular;29;jan;168
34;technician;married;secondary;no;1641;yes;no;cellular;17;apr;380
34;blue-collar;married;tertiary;no;20;no;no;unknown;4;oct;10
25;admin.;single;secondary;no;4590;yes;no;unknown;28;may;199
41;admin.;single;secondary;no;-256;no;yes;unknown;9;may;35
43;services;married;secondary;no;978;yes;yes;unknown;26;may;82
28;management;single;tertiary;no;80;no;no;cellular;20;oct;676
31;admin.;single;secondary;no;2104;yes;no;unknown;3;jun;455
78;housemaid;married;secondary;no;499;no;no;telephone;16;mar;80
45;blue-collar;divorced;secondary;no;1269;yes;no;cellular;29;jan;549
48;technician;married;tertiary;no;310;no;no;unknown;6;may;135
32;blue-collar;single;secondary;no;1143;yes;yes;cellular;10;jul;412
42;technician;married;secondary;no;2980;no;no;unknown;20;jun;101
37;management;single;tertiary;no;37;no;no;cellular;28;jan;253
40;admin.;single;secondary;no;462;yes;yes;cellular;6;apr;272
32;admin.;married;secondary;no;1031;yes;no;cellular;17;jul;84
42;management;married;tertiary;no;9009;no;no;cellular;20;nov;135
43;admin.;married;secondary;no;-465;yes;yes;cellular;23;jul;166
44;admin.;married;secondary;no;5181;yes;yes;cellular;31;jul;18
37;admin.;married;secondary;no;176;yes;no;cellular;5;may;147
37;unknown;married;unknown;no;1699;no;no;unknown;9;jun;63
37;admin.;married;tertiary;no;0;yes;no;cellular;17;nov;65
28;technician;single;tertiary;no;172;yes;yes;cellular;2;feb;194
32;services;single;secondary;no;0;no;yes;cellular;11;jul;333
34;admin.;single;secondary;no;6979;yes;no;cellular;15;may;14
40;admin.;divorced;secondary;no;6;no;no;unknown;11;jun;140
34;services;married;secondary;no;-62;yes;no;unknown;16;jun;109
34;self-employed;married;tertiary;no;1972;yes;no;cellular;23;jul;61
34;admin.;married;tertiary;no;899;yes;no;telephone;19;nov;377
37;services;single;secondary;no;21;yes;no;cellular;2;feb;96
36;technician;married;secondary;no;23;yes;no;cellular;8;may;152
56;retired;married;secondary;no;-1206;yes;no;cellular;15;jun;382
49;blue-collar;married;primary;no;0;yes;yes;telephone;23;jul;97
33;self-employed;married;secondary;no;215;yes;no;cellular;29;jul;543
30;management;single;tertiary;no;1372;no;no;cellular;20;nov;240
36;services;married;secondary;no;1981;no;no;unknown;17;jun;48
23;student;single;secondary;no;9216;no;no;cellular;5;jun;471
57;retired;divorced;secondary;no;39;yes;no;cellular;30;jul;354
27;blue-collar;single;secondary;no;5563;yes;no;unknown;30;may;435
38;services;married;secondary;no;1;no;yes;cellular;21;nov;152
42;technician;married;tertiary;no;782;no;no;cellular;3;apr;285
75;retired;married;secondary;no;3771;no;no;telephone;15;apr;185
34;technician;single;tertiary;no;992;yes;no;cellular;4;may;301
48;technician;married;secondary;no;1526;no;no;cellular;6;aug;273
35;technician;single;tertiary;no;2658;yes;no;cellular;19;aug;768
39;management;divorced;tertiary;no;1315;yes;no;cellular;19;nov;1337
29;blue-collar;single;tertiary;no;455;no;no;telephone;21;apr;403
45;technician;single;tertiary;no;0;yes;no;cellular;18;nov;139
42;technician;married;secondary;no;2030;yes;yes;cellular;9;jul;196
29;technician;married;secondary;no;1599;yes;no;cellular;8;jul;115
38;services;single;secondary;no;-196;yes;no;cellular;2;feb;60
56;retired;married;secondary;no;1333;no;no;cellular;28;aug;17
36;technician;single;secondary;no;9149;yes;no;cellular;13;aug;141
25;blue-collar;single;secondary;no;-350;yes;no;unknown;23;jun;95
38;technician;married;tertiary;no;432;yes;no;cellular;15;may;10
57;self-employed;married;secondary;no;11494;no;no;cellular;19;nov;198
31;management;married;tertiary;yes;-253;no;no;cellular;12;aug;220
42;management;married;tertiary;no;372;yes;no;cellular;3;aug;654
45;technician;married;secondary;no;1410;no;no;cellular;11;aug;71
30;blue-collar;married;secondary;no;975;yes;no;cellular;13;may;256
49;blue-collar;married;primary;no;305;yes;yes;telephone;10;jul;834
49;services;married;secondary;no;400;no;no;cellular;21;aug;151
53;retired;married;tertiary;no;-22;yes;no;cellular;31;jul;20
37;technician;married;secondary;no;4030;yes;no;unknown;26;may;178
49;blue-collar;married;primary;no;365;no;no;unknown;26;may;59
41;self-employed;married;primary;no;204;no;no;cellular;13;aug;111
54;management;married;primary;no;1691;yes;no;cellular;20;nov;186
32;services;single;secondary;no;406;yes;no;unknown;6;may;227
33;technician;married;secondary;no;-204;no;no;cellular;15;may;297
33;technician;married;secondary;no;359;yes;no;cellular;20;apr;210
36;blue-collar;married;primary;no;123;yes;no;cellular;18;may;9
35;technician;married;tertiary;no;0;yes;yes;cellular;23;sep;112
52;unknown;married;secondary;no;142;no;no;cellular;25;aug;112
40;entrepreneur;married;tertiary;no;3571;no;no;unknown;9;jun;222
44;technician;single;secondary;no;33;yes;no;cellular;13;may;195
45;blue-collar;single;secondary;no;0;yes;no;cellular;26;jul;768
30;student;single;secondary;no;3096;no;no;cellular;26;jan;123
48;technician;divorced;secondary;yes;20;no;no;cellular;27;aug;145
33;blue-collar;married;secondary;no;3576;yes;no;cellular;2;apr;124
57;technician;married;unknown;no;206;yes;no;unknown;5;may;216
57;housemaid;married;primary;no;7082;no;no;unknown;6;jun;69
51;unemployed;married;tertiary;no;1634;yes;no;cellular;22;jul;168
34;admin.;single;secondary;no;1;yes;no;cellular;22;jul;483
50;self-employed;married;tertiary;no;4012;no;no;cellular;19;nov;690
44;management;married;tertiary;no;3762;no;no;cellular;28;aug;125
27;admin.;married;secondary;no;-247;yes;yes;unknown;4;jun;344
50;blue-collar;married;secondary;no;606;yes;no;unknown;14;may;673
36;management;married;tertiary;no;0;yes;no;cellular;28;jan;60
42;management;married;secondary;no;-189;yes;no;unknown;12;may;247
32;unemployed;single;secondary;no;0;no;no;cellular;27;may;123
42;management;married;tertiary;no;484;yes;no;cellular;11;jul;144
43;technician;married;secondary;no;0;no;yes;cellular;8;may;9
31;management;married;tertiary;no;395;yes;no;cellular;9;feb;155
32;management;married;tertiary;no;2349;no;no;cellular;14;aug;134
55;blue-collar;divorced;primary;no;410;no;yes;cellular;11;jul;221
58;retired;married;primary;no;3401;yes;no;cellular;3;feb;84
46;blue-collar;married;primary;no;222;no;no;cellular;8;aug;71
55;blue-collar;married;secondary;no;989;yes;yes;unknown;23;may;246
34;management;married;tertiary;no;415;no;yes;cellular;23;jul;361
28;unemployed;single;secondary;no;16;no;no;cellular;12;aug;119
42;technician;divorced;tertiary;no;7190;yes;no;cellular;29;jul;375
29;blue-collar;single;secondary;no;482;no;yes;cellular;10;jul;1097
54;housemaid;married;secondary;no;209;yes;yes;cellular;25;jul;97
32;technician;single;secondary;no;0;no;no;cellular;26;aug;181
39;technician;single;tertiary;no;5803;no;no;cellular;2;feb;83
53;entrepreneur;married;tertiary;no;624;no;yes;cellular;21;jul;180
58;technician;married;tertiary;no;883;no;no;cellular;18;aug;543
40;self-employed;married;secondary;no;1516;yes;yes;unknown;23;may;373
29;student;single;secondary;no;872;yes;no;unknown;7;may;230
33;technician;married;tertiary;no;-988;yes;yes;cellular;15;jul;83
38;admin.;single;secondary;no;902;yes;no;telephone;31;jul;58
56;services;divorced;secondary;no;1007;no;no;cellular;29;jul;88
40;services;married;secondary;no;0;yes;no;cellular;2;jun;297
24;blue-collar;single;secondary;no;174;yes;yes;cellular;18;may;487
46;management;married;secondary;no;12186;no;no;unknown;20;jun;29
35;self-employed;married;secondary;no;524;yes;no;cellular;21;nov;484
35;blue-collar;single;tertiary;no;0;yes;no;cellular;21;jul;262
34;technician;married;secondary;no;4;yes;no;unknown;15;may;644
35;housemaid;married;tertiary;no;11219;no;no;cellular;12;aug;699
38;technician;single;tertiary;no;0;no;no;cellular;28;aug;247
50;blue-collar;married;primary;no;5776;no;no;cellular;18;nov;49
51;blue-collar;divorced;primary;no;37;yes;no;cellular;13;may;341
59;self-employed;married;tertiary;no;593;no;no;unknown;13;may;64
32;blue-collar;married;secondary;no;1148;yes;no;cellular;20;apr;121
37;blue-collar;single;secondary;no;3561;yes;no;unknown;2;jun;98
42;admin.;divorced;secondary;no;63;no;no;unknown;16;may;88
40;student;married;secondary;no;260;no;no;unknown;20;jun;197
28;technician;single;tertiary;no;2269;yes;no;unknown;9;may;331
47;admin.;married;secondary;no;1060;yes;no;unknown;6;jun;83
27;self-employed;married;secondary;no;-220;yes;no;unknown;26;may;138
41;management;married;tertiary;no;49;yes;no;cellular;17;jul;312
34;admin.;married;tertiary;no;69;no;yes;cellular;4;aug;120
50;blue-collar;married;primary;no;4108;yes;no;cellular;7;aug;526
47;blue-collar;married;secondary;no;480;yes;no;unknown;28;may;211
53;services;married;secondary;no;4994;no;no;cellular;18;aug;62
53;technician;divorced;secondary;no;0;yes;yes;cellular;15;jul;135
47;management;married;tertiary;no;3681;no;no;cellular;14;aug;101
49;entrepreneur;divorced;unknown;yes;-701;yes;no;cellular;30;jul;988
29;management;married;tertiary;no;451;no;no;cellular;28;jan;451
45;blue-collar;divorced;primary;no;-311;yes;no;unknown;23;may;1030
38;entrepreneur;married;secondary;no;593;yes;yes;cellular;24;jul;1484
32;blue-collar;married;secondary;no;759;yes;no;cellular;9;apr;317
70;retired;divorced;primary;no;4531;no;no;cellular;18;may;445
65;retired;divorced;primary;no;1840;no;no;cellular;1;jun;383
56;blue-collar;married;secondary;no;345;yes;no;telephone;22;jul;605
35;blue-collar;married;secondary;no;1287;yes;no;cellular;14;jul;330
56;management;married;unknown;no;353;no;yes;cellular;25;jul;171
56;technician;married;secondary;no;205;no;yes;cellular;23;jul;442
49;entrepreneur;married;secondary;no;687;yes;no;cellular;17;apr;772
38;unemployed;married;primary;no;1147;yes;yes;unknown;8;may;249
35;management;married;tertiary;no;4286;yes;no;unknown;9;may;357
38;admin.;married;tertiary;no;605;no;no;cellular;18;nov;147
49;blue-collar;married;secondary;no;8545;yes;yes;cellular;6;may;199
55;management;married;unknown;no;559;no;no;cellular;28;jan;271
43;blue-collar;single;primary;no;2;yes;no;cellular;30;jul;783
43;management;married;tertiary;no;2;no;yes;cellular;20;aug;472
25;admin.;single;tertiary;no;760;yes;no;cellular;27;may;223
30;blue-collar;married;primary;no;1317;yes;no;unknown;21;may;395
46;blue-collar;married;secondary;no;182;no;no;cellular;4;feb;56
50;admin.;married;primary;no;276;no;yes;unknown;17;jun;641
35;entrepreneur;married;secondary;no;2971;no;no;cellular;4;may;429
26;unemployed;single;secondary;no;1064;no;no;unknown;31;may;113
45;admin.;married;unknown;no;1783;no;no;unknown;20;jun;11
37;blue-collar;married;secondary;no;-67;no;no;cellular;2;feb;157
60;self-employed;single;tertiary;no;179;no;yes;cellular;29;jul;79
38;management;married;tertiary;no;1199;no;no;cellular;4;aug;178
47;blue-collar;married;primary;no;214;yes;yes;unknown;9;jun;168
33;technician;married;secondary;no;6699;no;no;cellular;9;nov;425
51;unemployed;married;secondary;no;1760;no;yes;cellular;19;nov;162
35;entrepreneur;single;tertiary;no;145;yes;no;cellular;18;jul;799
35;unemployed;married;secondary;no;978;no;no;cellular;29;dec;1370
48;admin.;single;secondary;no;1150;yes;no;unknown;28;may;357
37;admin.;married;secondary;no;121;no;no;cellular;22;jul;22
29;technician;single;tertiary;no;828;yes;no;cellular;16;apr;215
34;admin.;married;secondary;no;244;yes;no;cellular;31;jul;56
32;services;married;primary;no;228;yes;no;cellular;21;jul;1017
30;management;single;tertiary;no;424;no;no;cellular;16;apr;298
47;management;divorced;tertiary;no;447;no;yes;unknown;7;may;126
33;blue-collar;married;primary;no;-195;no;no;unknown;20;sep;9
33;management;single;tertiary;no;1410;yes;no;cellular;5;feb;8
63;retired;married;primary;no;1084;no;no;cellular;14;oct;201
51;self-employed;divorced;primary;no;10924;no;no;cellular;6;may;106
41;management;married;tertiary;no;832;yes;yes;cellular;21;nov;164
56;retired;married;tertiary;no;478;no;no;cellular;5;feb;97
60;management;single;tertiary;no;0;no;yes;cellular;23;jul;151
41;self-employed;single;tertiary;no;3950;yes;no;unknown;30;may;96
37;management;single;unknown;no;504;yes;no;cellular;16;apr;555
36;blue-collar;single;secondary;no;219;yes;yes;cellular;11;may;270
57;management;married;tertiary;no;1602;no;no;cellular;29;jul;339
55;management;married;primary;no;2587;no;no;cellular;4;sep;328
44;admin.;married;secondary;no;0;yes;yes;unknown;16;may;159
47;self-employed;married;tertiary;no;2303;yes;no;cellular;6;may;323
31;blue-collar;married;secondary;no;1660;yes;no;cellular;20;apr;342
35;management;married;tertiary;yes;32;yes;no;cellular;21;nov;180
39;management;married;tertiary;no;278;no;yes;cellular;28;jul;60
50;management;married;tertiary;no;4;no;no;cellular;17;nov;223
29;management;married;tertiary;no;318;yes;no;cellular;18;may;1434
30;services;single;secondary;no;209;yes;no;unknown;6;may;30
46;services;married;secondary;no;271;yes;no;unknown;16;may;134
27;management;single;unknown;no;3196;no;no;cellular;9;feb;10
48;admin.;divorced;secondary;no;4099;no;no;cellular;2;apr;397
26;student;single;secondary;no;2572;yes;no;cellular;5;may;620
36;management;single;tertiary;no;339;no;no;cellular;21;nov;6
42;blue-collar;married;primary;no;0;yes;yes;cellular;7;may;209
50;housemaid;married;primary;no;395;yes;no;unknown;15;may;419
49;blue-collar;married;secondary;no;2039;yes;no;cellular;18;nov;283
45;management;married;tertiary;no;5450;no;no;cellular;8;aug;188
23;student;single;secondary;no;780;no;no;cellular;16;sep;267
38;technician;single;secondary;no;0;yes;no;cellular;7;apr;196
32;management;single;tertiary;no;8436;yes;no;cellular;17;apr;245
60;technician;single;primary;no;11262;no;no;cellular;26;aug;323
30;entrepreneur;married;secondary;no;946;yes;no;cellular;19;nov;1065
58;housemaid;married;tertiary;no;497;no;no;unknown;11;jun;138
60;retired;married;primary;no;55;no;no;cellular;4;jun;207
38;services;married;secondary;no;-140;no;no;unknown;25;jun;456
51;technician;married;secondary;no;-379;yes;no;cellular;5;aug;261
42;admin.;married;secondary;no;-396;yes;no;cellular;11;may;80
30;services;single;secondary;no;0;yes;no;cellular;18;may;131
40;management;married;primary;no;733;yes;no;unknown;6;jun;94
37;management;married;tertiary;no;393;yes;no;cellular;14;may;567
53;technician;divorced;primary;no;7290;yes;no;unknown;30;may;153
27;services;single;secondary;no;468;yes;no;cellular;13;may;109
39;blue-collar;married;secondary;no;0;yes;no;cellular;30;apr;53
39;blue-collar;married;primary;no;3705;yes;no;unknown;16;jun;77
59;retired;married;tertiary;no;9676;no;no;telephone;27;mar;234
37;services;married;secondary;no;1328;yes;no;telephone;13;may;121
41;blue-collar;married;primary;no;8;yes;no;cellular;15;jul;155
45;blue-collar;married;primary;no;61;no;no;cellular;17;apr;108
48;management;married;tertiary;no;6613;no;no;unknown;17;jun;159
48;technician;married;secondary;no;302;yes;no;unknown;26;may;208
32;blue-collar;married;secondary;no;1005;no;no;cellular;12;may;215
35;services;married;secondary;no;109;yes;no;unknown;6;may;597
33;management;single;tertiary;no;1240;yes;no;cellular;4;feb;505
28;blue-collar;single;primary;no;0;yes;yes;unknown;3;jun;380
64;retired;married;unknown;no;2923;no;no;cellular;12;mar;120
35;technician;married;secondary;no;0;no;no;cellular;27;aug;106
33;blue-collar;married;secondary;no;43;yes;no;cellular;14;may;332
41;technician;married;secondary;no;288;yes;no;unknown;15;may;221
34;admin.;married;secondary;no;613;yes;no;cellular;4;jun;80
37;technician;single;tertiary;no;6101;no;no;cellular;4;may;60
38;blue-collar;married;primary;no;168;yes;yes;telephone;13;may;212
39;blue-collar;married;primary;no;7685;yes;no;cellular;14;apr;493
35;technician;divorced;tertiary;no;4515;yes;no;cellular;19;nov;98
28;blue-collar;single;secondary;no;517;no;yes;cellular;8;jul;681
27;blue-collar;single;secondary;no;148;no;no;cellular;22;jul;203
48;retired;married;primary;yes;-285;no;yes;cellular;19;nov;157
50;blue-collar;married;secondary;no;887;no;no;unknown;16;jun;287
45;self-employed;married;secondary;no;3098;yes;no;cellular;7;aug;159
41;technician;married;tertiary;no;744;yes;no;unknown;14;may;125
39;technician;married;secondary;no;130;no;no;cellular;8;jul;202
44;management;married;secondary;no;438;yes;no;telephone;8;may;37
54;admin.;married;secondary;no;0;no;no;cellular;28;jan;161
49;management;married;tertiary;no;322;no;no;cellular;6;aug;72
34;blue-collar;single;secondary;no;186;no;no;cellular;2;feb;342
75;retired;divorced;tertiary;no;3810;yes;no;cellular;16;nov;262
42;management;married;tertiary;no;0;no;no;cellular;13;aug;325
53;blue-collar;married;secondary;no;4380;no;no;telephone;19;aug;223
49;management;divorced;tertiary;no;755;no;no;cellular;31;jul;1212
31;services;single;secondary;no;2070;no;no;cellular;29;aug;319
45;blue-collar;single;primary;no;999;no;no;cellular;29;jan;182
39;self-employed;married;secondary;no;167;yes;yes;cellular;17;jul;330
46;technician;married;secondary;no;1322;yes;yes;cellular;19;nov;514
42;admin.;divorced;secondary;no;1076;yes;no;unknown;14;may;213
37;management;married;tertiary;no;502;yes;no;cellular;7;may;551
26;technician;single;tertiary;no;1216;yes;no;cellular;16;apr;472
37;management;single;tertiary;no;876;yes;no;cellular;15;apr;140
36;services;single;secondary;no;342;yes;no;unknown;7;may;142
29;blue-collar;single;primary;no;950;yes;no;unknown;4;jun;135
36;blue-collar;married;primary;no;973;yes;yes;unknown;23;may;293
26;technician;married;tertiary;no;3825;yes;no;unknown;13;may;107
32;blue-collar;married;secondary;no;2366;yes;no;unknown;20;may;127
40;management;married;tertiary;no;542;yes;no;cellular;20;nov;1816
53;management;married;primary;no;995;no;no;cellular;4;feb;200
29;management;married;tertiary;no;20;yes;no;cellular;12;may;418
34;technician;single;tertiary;no;228;yes;no;cellular;22;jul;387
43;blue-collar;married;secondary;no;130;no;no;cellular;5;may;156
